"Klik POS","كليك بو إس"
"KLiK PoS","كليك بو إس"
"Klik POS Settings","إعدادات كليك بو إس"
"Allow Credit Sales","السماح بالمبيعات الآجلة"
"Allow Return","السماح بالمرتجعات"
"Allow Write Off","السماح بالشطب"
"Amount","المبلغ"
"App ID","معرف التطبيق"
"Attach","إرفاق"
"Attach Document Print","إرفاق مستند مطبوع"
"Attach from field ","الإرفاق من الحقل"
"Attach media from doctype field","إرفاق الوسائط من حقل نوع المستند"
"Auto-fetch Batch/Serial ","الجلب التلقائي للدفعة/الرقم التسلسلي"
"Barcode Start Pattern","نمط بداية الباركود"
"Base Write Off Amount","مبلغ الشطب الأساسي"
"Business ID","معرف النشاط"
"Business Type","نوع النشاط"
"Category","الفئة"
"Clear Draft Invoices on Closing Shift","مسح الفواتير المسودة عند إغلاق الوردية"
"Condition","الشرط"
"Content Type","نوع المحتوى"
"Conversation ID","معرف المحادثة"
"Custom attachment","مرفق مخصص"
"Customer","العميل"
"Days Before or After","عدد الأيام قبل أو بعد"
"Default View","العرض الافتراضي"
"Delivery","توصيل"
"Delivery Personnel","مندوب التوصيل"
"Delivery Personnel Name","اسم مندوب التوصيل"
"Delivery Required?","هل التوصيل مطلوب؟"
"Disabled","معطل"
"DocType Event","حدث نوع المستند"
"Email Template","قالب البريد الإلكتروني"
"Enable SMS","تمكين الرسائل النصية"
"Enable Whatsapp","تمكين واتساب"
"Enabled","مفعل"
"Event Frequency","تكرار الحدث"
"Field Name","اسم الحقل"
"Field names","أسماء الحقول"
"Field names to replace the value in templates","أسماء الحقول لاستبدال القيم في القوالب"
"File name","اسم الملف"
"Footer","التذييل"
"For DocType","لنوع المستند"
"For V16 use UTILITY and AUTHENTICATION in place of TRANSACTIONAL and OTP","في الإصدار 16 استخدم UTILITY وAUTHENTICATION بدلًا من TRANSACTIONAL وOTP"
"From","من"
"Header","الرأس"
"Header Type","نوع الرأس"
"Help","مساعدة"
"Hide Expected Amount","إخفاء المبلغ المتوقع"
"ID","المعرّف"
"Ignore write off on Partial Returns","تجاهل الشطب في المرتجعات الجزئية"
"Is Reply","هل هي رد"
"Label","التسمية"
"Language","اللغة"
"Language Code","رمز اللغة"
"Message","الرسالة"
"Message ID","معرف الرسالة"
"Message Type","نوع الرسالة"
"Mobile number field","حقل رقم الجوال"
"Mobile number with country code","رقم الجوال مع رمز الدولة"
"Notification Name","اسم الإشعار"
"Notification Type","نوع الإشعار"
"POS Closing Entry-custom_sales_invoice","إغلاق نقطة البيع - الفاتورة"
"POS Opening Entry","إدخال فتح نقطة البيع"
"POS PrintFormat","تنسيق طباعة نقطة البيع"
"Phone ID","معرف الهاتف"
"Posting Date","تاريخ الترحيل"
"Profile Name","اسم الملف"
"Reference Date","التاريخ المرجعي"
"Reference DocType","نوع المستند المرجعي"
"Reference Document Type","نوع المستند المرجعي"
"Reference name","الاسم المرجعي"
"Reply To Message ID","الرد على معرف الرسالة"
"RoundOff","التقريب"
"Sales Invoice","فاتورة مبيعات"
"Sample","مثال"
"Sample Values","قيم تجريبية"
"Send days before or after the reference date","الإرسال قبل أو بعد التاريخ المرجعي بعدد الأيام المحدد"
"Set Property After Alert","تعيين الخاصية بعد التنبيه"
"Status","الحالة"
"TO ","إلى"
"Template","القالب"
"Template Header Parameters","معلمات رأس القالب"
"Template Label","تسمية القالب"
"Template Name","اسم القالب"
"Template Parameters","معلمات القالب"
"Thermal Printer PF","تنسيق الطابعة الحرارية"
"Token","الرمز"
"Type","النوع"
"URL","الرابط"
"Upload the file as public. Whatsapp cannot access the private file.","ارفع الملف كملف عام، لأن واتساب لا يمكنه الوصول إلى الملف الخاص."
"Use Scanner Fully","استخدام الماسح بالكامل"
"Use Template","استخدام قالب"
"Value To Be Set","القيمة المراد تعيينها"
"Version","الإصدار"
"Webhook Verify Token","رمز التحقق للويب هوك"
"WhatsApp Chat","دردشة واتساب"
"WhatsApp Conversations","محادثات واتساب"
"WhatsApp Message Notification","إشعار رسالة واتساب"
"WhatsApp Message Templates","قوالب رسائل واتساب"
"WhatsApp Setup","إعداد واتساب"
"WhatsApp Template requires a document. ","قالب واتساب يتطلب مستندًا."
"WhatsApp Template requires document","قالب واتساب يتطلب مستندًا"
"Whatsapp Template","قالب واتساب"
"Write Off Account","حساب الشطب"
"Write Off Amount","مبلغ الشطب"
"bulk_message_reference","مرجع الرسائل الجماعية"
"eg.https://graph.facebook.com","مثال: https://graph.facebook.com"
